T,long,lat,Demand
ZC971,-66.11876,18.329688,6
ZC647,-66.93993,17.964529,3
ZC690,-67.09867,18.495369,3
ZC652,-66.61217,18.457453,3
ZC924,-66.01194,18.401917,9
ZC664,-66.59243,18.212565,5
ZC627,-66.85644,18.435246,7
ZC656,-66.79168,18.038866,5
ZC641,-66.70519,18.268896,6
ZC968,-66.1025,18.408479,3
ZC731,-66.61192,18.077329,4
ZC660,-67.12085,18.139108,5
ZC778,-65.97791,18.258628,9
ZC966,-66.11522,18.398507,5
ZC795,-66.50289,18.036253,9
ZC926,-66.0562,18.361363,15
ZC683,-67.04524,18.092807,7
ZC751,-66.26534,17.993803,5
ZC716,-66.59965,17.999066,6
ZC740,-65.62761,18.331711,3
